epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,1220.71,1.18675,0.75554,1.18209,0.90284,0.83481,0.94187,0.69002,1.09692,0.62218,1.14191,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,1243.7,1.16969,0.73777,1.17753,0.87254,0.8454,0.92638,0.67612,1.10993,0.67564,1.16283,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,1266.9,1.16033,0.75886,1.18173,0.89252,0.85513,0.93478,0.68706,1.11286,0.64156,1.15729,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,1289.72,1.16272,0.73578,1.17329,0.91641,0.83467,0.94307,0.70556,1.07822,0.64481,1.14982,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,1312.54,1.15203,0.74713,1.16312,0.8763,0.88022,0.94263,0.69151,1.08766,0.63199,1.14441,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,1335.51,1.1484,0.73128,1.16182,0.91003,0.84743,0.9456,0.70528,1.06527,0.64585,1.13232,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,1358.53,1.1392,0.72174,1.16299,0.91041,0.83223,0.94035,0.70113,1.06511,0.59253,1.13596,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,1381.41,1.14614,0.74417,1.15864,0.88337,0.87356,0.94902,0.71196,1.06129,0.62692,1.1423,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,1404.53,1.13693,0.71412,1.15173,0.89931,0.8798,0.94253,0.70956,1.03585,0.60823,1.11854,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,1427.32,1.12789,0.7078,1.15273,0.88553,0.89825,0.95755,0.72634,1.05859,0.60555,1.13114,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,1450.24,1.10278,0.69415,1.15121,0.89084,0.87363,0.9487,0.71551,1.04168,0.59541,1.13235,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,1473.06,1.10753,0.70136,1.14892,0.9088,0.89523,0.95872,0.7282,1.04544,0.54195,1.12584,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,1495.5,1.11526,0.6936,1.13599,0.89509,0.88786,0.95217,0.71944,1.01917,0.60073,1.10944,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,1518.2,1.10591,0.68869,1.14254,0.88016,0.8802,0.94255,0.72029,1.03423,0.62223,1.11615,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,1541.33,1.1134,0.69105,1.14145,0.90599,0.86446,0.95071,0.7275,1.03106,0.59221,1.10385,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,1564.52,1.11462,0.70719,1.14584,0.90631,0.88586,0.95153,0.71826,1.03423,0.60002,1.11818,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,1587.51,1.08356,0.67065,1.13094,0.91081,0.90266,0.96238,0.74148,1.00032,0.54713,1.10516,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,1610.25,1.07249,0.68323,1.13689,0.90498,0.89143,0.95996,0.73097,1.01938,0.54656,1.11372,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,1633.6,1.10247,0.6835,1.13659,0.91431,0.88513,0.96046,0.72827,0.98613,0.57904,1.10175,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,1656.6,1.06928,0.66346,1.12689,0.918,0.8705,0.95876,0.74255,0.98166,0.54326,1.09243,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,1679.64,1.07899,0.67059,1.12326,0.92619,0.87838,0.96004,0.74495,0.99711,0.53357,1.09544,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,1702.6,1.06277,0.65154,1.11597,0.91436,0.89142,0.96364,0.75454,0.95673,0.5911,1.07216,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,1725.5,1.05649,0.6483,1.11569,0.94165,0.87931,0.96213,0.74381,0.99178,0.53973,1.10161,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,1748.29,1.06411,0.64927,1.1153,0.93291,0.8978,0.96929,0.75582,0.96382,0.50357,1.09009,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,1771.01,1.04804,0.64852,1.11368,0.93225,0.88716,0.96421,0.75709,0.99333,0.54849,1.09569,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,1794,1.05981,0.65796,1.11859,0.90774,0.89506,0.96483,0.7489,0.97409,0.53805,1.09825,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,1816.89,1.05264,0.6507,1.11469,0.93223,0.88414,0.96532,0.75387,0.98407,0.52707,1.09184,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,1839.53,1.04879,0.64098,1.10189,0.90733,0.91594,0.96876,0.75393,0.98486,0.52414,1.0964,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,1862.41,1.03354,0.64126,1.10513,0.9398,0.87542,0.95704,0.75571,0.97905,0.52884,1.09567,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,1885.5,1.03517,0.64005,1.11013,0.9309,0.86705,0.95712,0.75087,0.95683,0.5406,1.09003,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,1908.51,1.0333,0.63599,1.10355,0.90526,0.88856,0.95496,0.74425,0.94686,0.57883,1.08784,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,1931.21,1.02881,0.63374,1.10382,0.91212,0.89671,0.96318,0.74927,0.96898,0.5731,1.09428,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,1954.11,1.01814,0.6173,1.09627,0.91652,0.87123,0.95328,0.75184,0.92852,0.53234,1.06911,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,1976.84,1.01624,0.62043,1.09731,0.91034,0.92533,0.96712,0.76785,0.93099,0.52085,1.06464,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,1999.83,1.01007,0.62659,1.09163,0.92203,0.88951,0.96657,0.76443,0.94967,0.53507,1.0727,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,2022.93,1.02522,0.62737,1.0896,0.89747,0.91689,0.96539,0.77053,0.90785,0.53396,1.06643,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,2045.82,1.01021,0.61242,1.08617,0.92356,0.8995,0.96388,0.77173,0.89837,0.52468,1.05168,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,2068.71,1.00319,0.60896,1.0888,0.94923,0.88217,0.96787,0.7718,0.91476,0.4898,1.05419,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,2091.86,1.00846,0.60629,1.08046,0.92249,0.91771,0.96831,0.77769,0.93346,0.52088,1.0772,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,2114.8,0.98787,0.59495,1.07953,0.9367,0.91096,0.96952,0.77757,0.94176,0.51202,1.07036,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,2137.42,0.99703,0.60839,1.08692,0.92026,0.89805,0.9657,0.77064,0.91068,0.56654,1.07698,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
